OverallQual,GrLivArea,TotalBsmtSF,1stFlrSF,YearBuilt,YearRemodAdd,GarageCars,GarageArea,FullBath,TotRmsAbvGrd,KitchenQual,Fireplaces,LotArea,Neighborhood,ExterQual,SalePrice
6,987,483,483,1972,2007,1,264,1,5,Gd,0,1680,BrDale,TA,118000
6,1394,1394,1394,1963,1963,2,514,1,6,TA,2,9500,NAmes,TA,159000
6,1431,1099,1431,1962,1962,1,296,1,6,TA,1,9150,NAmes,TA,165000
5,1268,1268,1268,1954,1954,1,244,1,7,TA,1,7800,NAmes,TA,132000
5,1287,1063,1287,1959,2006,2,576,1,7,Gd,1,9830,NAmes,TA,162000
6,1664,953,953,2000,2000,2,460,2,7,TA,1,8121,Gilbert,TA,172400
4,1588,0,1120,1959,1959,2,680,2,7,TA,1,17120,ClearCr,TA,134432
6,752,744,752,1984,1984,1,264,1,4,TA,0,7175,SawyerW,TA,125000
5,1319,608,1319,1953,1953,1,270,1,5,TA,0,10634,NAmes,TA,123000
7,1928,847,847,2003,2004,2,434,2,8,Gd,1,8200,CollgCr,Gd,219500
8,2466,1580,1580,2004,2005,2,610,3,8,Gd,1,11143,Somerst,Gd,340000
9,1856,1856,1856,2010,2010,3,834,1,8,Ex,1,11394,StoneBr,Gd,394432
5,1691,1026,1026,1924,1950,1,308,2,6,Gd,1,5000,SWISU,TA,127000
7,1301,1293,1301,2006,2006,2,572,2,5,Gd,1,7200,Somerst,Gd,187750
7,1797,939,939,2006,2006,2,639,2,8,Gd,0,9245,CollgCr,Gd,213500
6,784,784,784,1928,1950,2,360,1,5,TA,0,9000,SawyerW,TA,76000
6,1953,1580,1079,1992,1992,2,501,2,9,Gd,2,53107,ClearCr,Gd,240000
8,1269,1256,1269,2004,2005,2,430,2,6,Gd,1,3182,Blmngtn,Gd,192000
5,1184,658,658,1910,1996,0,0,1,8,TA,0,8410,Edwards,TA,81000
6,1125,1041,1125,1976,1976,1,352,1,6,TA,1,7200,Edwards,TA,125000
7,1479,1468,1479,1999,2000,2,577,2,6,Gd,0,9382,CollgCr,Gd,191000
10,2332,1682,1742,2007,2008,3,846,2,9,Ex,1,12474,NridgHt,Ex,426000
5,1367,861,961,1900,1950,1,384,1,7,TA,0,8405,Edwards,TA,119000
5,882,0,882,1959,1959,1,294,1,5,TA,0,8339,NAmes,TA,106500
5,1144,1144,1144,1956,1956,1,596,1,6,TA,0,9571,Edwards,TA,129000
5,894,894,894,1972,1972,2,600,1,6,TA,0,7200,CollgCr,TA,123000
5,1812,864,876,1962,1962,1,264,2,8,TA,1,7590,NAmes,TA,169500
5,1077,961,1077,1920,1950,1,338,1,6,TA,0,8967,IDOTRR,TA,67000
7,1550,1092,1112,2006,2007,2,438,2,7,Gd,0,8125,Somerst,Gd,241000
8,1288,1260,1288,1996,1996,2,500,1,4,Ex,2,14963,Veenker,Gd,245500
5,672,672,672,1940,1997,1,240,1,4,TA,0,10200,Sawyer,TA,108000
6,1572,806,806,1995,1996,2,373,2,7,TA,1,10364,Gilbert,TA,168000
4,1620,1281,1620,1976,1993,2,490,2,8,TA,1,9991,Sawyer,TA,150000
6,1639,1064,1166,1936,1950,1,240,1,6,TA,0,10480,SWISU,TA,115000
6,1680,840,840,1915,1976,1,308,2,8,TA,0,15576,Crawfor,TA,177000
7,2172,1063,1071,2006,2006,3,947,2,9,Gd,1,14154,NridgHt,Gd,280000
8,2078,1034,1050,2007,2008,3,836,2,8,Ex,1,10800,Somerst,Gd,339750
5,1276,1276,1276,1958,1958,1,350,1,5,TA,0,9571,Edwards,TA,60000
5,1056,1056,1056,1955,1955,2,572,1,5,TA,0,34650,Gilbert,TA,145000
7,2097,1080,1080,1993,1993,3,678,2,9,Gd,1,11228,SawyerW,Gd,228000
7,1340,1340,1340,2007,2007,2,396,2,6,Gd,0,8899,Gilbert,Gd,181134
6,1400,672,672,1978,1978,2,440,1,6,TA,1,7844,Sawyer,TA,149500
5,1134,756,756,1940,1950,1,240,1,7,TA,0,8160,Edwards,TA,126000
5,1056,1056,1056,1968,1968,1,304,1,6,TA,1,8450,NAmes,TA,142000
7,1344,1344,1344,1997,1998,4,784,2,8,TA,0,7060,Mitchel,TA,206300
6,1602,1602,1602,1977,2000,2,529,2,8,Gd,1,16635,NWAmes,Gd,215000
5,988,988,988,1954,1954,2,520,1,4,TA,0,21750,Mitchel,TA,113000
8,2630,1470,1470,1998,1998,3,696,2,8,Gd,1,9200,NoRidge,Gd,315000
6,1196,1196,1196,1956,1956,1,297,1,6,TA,1,9000,NAmes,TA,139000
7,1389,651,707,1946,1992,1,240,1,6,TA,2,3378,OldTown,TA,135000
4,907,907,907,1957,1957,1,352,1,5,TA,0,8593,NAmes,TA,109008
7,1208,1208,1208,2007,2007,2,628,2,6,Gd,0,6762,CollgCr,Gd,195400
6,1412,1392,1412,1988,1988,2,576,2,6,Gd,1,11457,Timber,TA,175000
6,987,483,483,1971,1971,1,264,1,4,TA,0,1680,BrDale,TA,85400
6,1198,901,1088,1920,1998,0,0,1,7,TA,0,5586,OldTown,TA,79900
5,1365,765,765,1971,1971,2,440,1,6,TA,0,1920,BrDale,TA,122500
6,1604,926,926,1997,1998,2,470,2,7,TA,1,10839,Gilbert,TA,181000
4,630,630,630,1972,1972,0,0,1,3,TA,0,1890,MeadowV,TA,81000
7,1661,799,827,1996,1996,2,550,2,6,Gd,1,10667,CollgCr,Gd,212000
6,1118,648,734,1920,1950,2,440,1,6,TA,0,4400,OldTown,TA,116000
6,904,884,904,1926,2004,1,180,1,4,TA,0,6000,BrkSide,Gd,119000
5,694,440,694,1913,2002,1,352,1,4,Gd,1,4280,Crawfor,TA,90350
6,1196,684,684,1920,2000,2,528,1,7,Gd,0,12354,Edwards,TA,110000
10,2402,3094,2402,2008,2008,3,672,2,10,Ex,2,15431,NridgHt,Ex,555000
4,1440,1440,1440,1955,1955,0,0,2,8,Fa,0,12108,Edwards,TA,118000
7,1258,1258,1258,2006,2007,3,648,2,6,Gd,1,3922,Blmngtn,Gd,172500
6,1689,1436,1689,1956,1956,2,480,1,7,TA,1,9855,Edwards,TA,127500
6,1888,1517,1888,1966,2002,2,578,2,6,Gd,1,16492,NAmes,Gd,190000
7,1886,930,956,1998,1999,2,431,2,10,Gd,1,11214,Gilbert,Gd,199900
6,1376,780,780,1937,1950,1,198,2,7,TA,1,8600,IDOTRR,TA,119500
3,1183,649,679,1948,2002,1,308,1,6,TA,0,6000,OldTown,TA,120000
6,813,813,813,1930,2005,1,270,1,5,Gd,0,5684,OldTown,TA,110000
7,1533,1533,1533,1975,1975,2,576,2,5,Gd,2,70761,ClearCr,TA,280000
6,1756,872,888,1996,1997,2,422,2,7,TA,0,9303,Timber,Gd,204000
8,1590,768,786,2008,2008,2,676,2,6,Gd,0,9000,Somerst,Gd,210000
5,1728,1728,1728,1976,1976,2,560,2,8,TA,0,9297,Mitchel,TA,188000
7,1242,1242,1242,1973,1973,2,528,1,6,TA,1,9600,NWAmes,TA,175500
5,1344,624,624,1916,1950,3,513,1,7,TA,0,4571,OldTown,TA,98000
8,1666,588,833,1925,1996,1,228,1,7,Gd,1,5100,OldTown,TA,161000
5,1203,709,979,1950,1950,1,352,1,5,Gd,1,7015,BrkSide,TA,110000
8,1935,832,832,2009,2009,2,552,2,8,TA,0,8004,Somerst,Gd,263435
7,1135,560,575,1936,2007,2,576,1,6,Gd,0,7200,SWISU,Gd,155000
5,864,864,864,1965,1965,1,360,1,5,TA,1,8281,Sawyer,TA,62383
6,1660,715,849,1934,1995,1,240,1,6,TA,1,11988,Crawfor,TA,188700
7,1414,1375,1414,2004,2004,2,398,2,6,Gd,1,3072,Blmngtn,Gd,178740
7,1277,1277,1277,1970,1970,2,526,1,5,TA,1,10628,NAmes,TA,167000
5,1644,728,888,1942,1995,1,312,1,7,Gd,2,9480,NAmes,TA,146500
6,1710,832,832,1993,1993,2,506,2,7,Gd,0,9291,SawyerW,Gd,187000
8,1502,1488,1502,1985,1985,2,528,1,4,Gd,0,6820,StoneBr,Gd,212000
7,1969,808,1161,1977,1977,2,534,2,8,TA,1,11952,NWAmes,TA,190000
8,1976,1976,1976,2006,2007,3,908,2,7,Gd,1,14977,NridgHt,Gd,440000
8,1652,1494,1652,2000,2000,2,499,2,6,Ex,0,5330,StoneBr,Gd,251000
5,970,970,970,1963,1963,2,624,1,5,TA,0,8480,Sawyer,TA,132500
9,2643,2153,2069,2006,2006,3,694,2,9,Ex,1,13693,NridgHt,Ex,380000
8,1718,1705,1718,2007,2008,3,826,2,7,Gd,1,10637,CollgCr,Gd,297000
4,1131,907,1131,1937,2000,2,672,1,7,TA,0,5925,OldTown,TA,89471
9,1850,1833,1850,2004,2005,3,772,2,8,Gd,1,16033,NridgHt,Gd,326000
9,1792,1792,1792,2003,2004,3,874,2,6,Ex,1,11846,NridgHt,Gd,374000
7,1826,910,916,1915,2005,1,164,1,7,Ex,1,2500,OldTown,Gd,155000
6,1216,1216,1216,1998,1998,2,402,2,5,TA,0,4500,Mitchel,TA,164000
5,999,999,999,1962,2001,1,264,1,6,Gd,0,7758,Sawyer,TA,132500
5,1113,1113,1113,1950,2007,1,264,1,5,Gd,1,9600,NAmes,Gd,147000
5,1073,1073,1073,1965,1965,2,515,1,6,TA,0,10289,NAmes,TA,156000
5,1484,1484,1484,1971,1971,2,487,2,7,TA,1,12243,NWAmes,TA,175000
5,2414,954,1766,1900,1970,2,520,2,10,TA,1,10800,OldTown,TA,160000
4,630,630,630,1970,2002,1,286,1,3,Gd,0,1526,MeadowV,TA,86000
5,1304,264,616,1976,1976,1,336,1,4,TA,1,2665,MeadowV,TA,115000
6,1578,806,958,1941,1950,1,240,1,5,Fa,2,9490,NAmes,TA,133000
6,1456,728,728,2006,2006,2,429,2,8,TA,0,15578,Gilbert,Gd,172785
5,1269,1269,1269,1960,1960,1,308,1,6,TA,1,7931,NAmes,TA,155000
5,886,190,886,1938,1996,1,273,1,4,TA,0,5784,OldTown,TA,91300
4,720,720,720,1920,1950,0,0,1,4,TA,0,7879,IDOTRR,TA,34900
8,3228,3200,3228,1992,1993,2,546,3,10,Gd,1,12692,NoRidge,Gd,430000
7,1820,1026,1133,1925,1950,1,240,2,8,TA,0,9120,BrkSide,TA,184000
5,912,912,912,1958,1985,1,297,1,5,TA,0,7535,NAmes,TA,120000
6,1218,672,672,1973,1973,1,264,1,7,TA,0,1890,BrDale,TA,113000
5,1214,1214,1214,1965,1965,2,461,1,6,TA,0,9170,Edwards,TA,140000
7,1801,1501,1801,1959,1997,2,484,2,6,TA,2,15602,Crawfor,TA,289000
6,1218,1218,1218,2009,2009,2,676,2,4,Gd,0,7862,Somerst,Gd,208300
7,1378,689,689,1928,2005,2,360,2,7,Gd,1,9600,OldTown,TA,161000
5,1041,1041,1041,1959,1959,1,270,1,6,TA,0,9600,NAmes,TA,124500
5,1363,1008,1363,1951,2000,1,288,1,6,TA,2,14559,NAmes,Gd,164900
7,1368,1368,1368,2005,2006,2,474,2,6,Gd,1,6792,NridgHt,Gd,202665
6,1080,1084,1080,1983,1983,2,484,1,5,TA,0,9187,Mitchel,TA,134000
5,789,768,789,1926,1950,1,200,1,5,TA,0,10594,Crawfor,TA,96500
10,2020,2006,2020,2009,2009,3,900,2,9,Ex,1,12220,NridgHt,Ex,402861
7,2344,1264,1277,1996,1997,3,889,2,7,Gd,1,10208,NoRidge,Gd,265000
7,2080,1276,1276,1926,2004,1,282,1,9,Gd,2,10918,Crawfor,Gd,234000
6,1664,1004,1004,1947,1950,2,420,2,7,TA,2,5000,BrkSide,TA,159000
10,4676,3138,3138,2007,2008,3,884,3,11,Ex,1,40094,Edwards,Ex,184750
7,2398,1379,1383,1996,1997,3,834,2,8,Gd,1,11787,NoRidge,Gd,315750
7,1266,1257,1266,2005,2005,2,453,2,6,Gd,1,7500,Somerst,Gd,176000
5,928,928,928,1956,2000,1,252,1,4,TA,0,13300,NAmes,TA,132000
9,2713,1452,1476,2008,2008,3,858,2,11,Ex,1,14948,NridgHt,Ex,446261
4,605,528,605,1920,2002,0,0,1,5,TA,0,9098,Edwards,TA,86000
6,2515,2035,2515,1957,1975,2,484,3,9,TA,2,32668,Crawfor,Gd,200624
6,1509,1461,1509,1988,1989,2,600,2,5,Gd,1,10200,Timber,Gd,175000
6,1362,611,751,1920,1999,2,502,2,6,TA,0,6155,BrkSide,TA,128000
5,827,0,827,1955,2007,1,392,1,5,TA,1,7200,NAmes,TA,107500
1,334,0,334,1946,1950,0,0,1,2,Fa,0,5000,BrkSide,Fa,39300
8,1414,707,707,2004,2004,2,403,2,6,Gd,1,9056,Gilbert,Gd,178000
5,1347,1117,820,1910,1991,0,0,1,5,TA,0,7000,Edwards,TA,107500
7,1724,880,880,1998,1999,2,527,2,8,Gd,0,8924,CollgCr,TA,188000
4,864,864,864,1972,1972,2,576,1,5,TA,0,12735,NAmes,TA,111250
5,1159,1051,1159,1968,1968,1,336,1,7,TA,1,11553,Sawyer,TA,158000
9,1838,1838,1838,2006,2006,3,765,2,8,Ex,1,14601,Timber,Ex,315000
8,2285,969,997,2000,2000,3,648,2,8,Gd,1,11000,NoRidge,Gd,248000
7,1680,1650,1680,1998,1999,2,583,2,7,Gd,1,10140,NWAmes,Gd,213250
7,767,723,767,1998,1998,1,367,1,4,TA,0,4058,NAmes,TA,133000
7,2183,1204,1377,1988,1988,3,786,2,9,Gd,0,13837,NWAmes,Gd,229000
6,1635,1065,915,1923,1950,2,440,1,6,TA,1,8737,BrkSide,TA,210000
5,825,825,825,1955,1995,2,720,1,4,TA,0,8235,OldTown,TA,125000
7,2094,912,912,2003,2004,2,615,2,8,Gd,1,9375,Somerst,Gd,263000
5,928,928,928,1957,1957,1,288,1,5,TA,0,6000,OldTown,TA,112500
8,1717,1709,1717,2006,2006,3,908,2,7,Gd,1,11146,NridgHt,Gd,255500
4,1126,0,1126,1949,2003,2,520,2,5,Gd,0,8777,Edwards,TA,108000
5,1048,993,1048,1922,1950,1,280,1,5,TA,1,6380,BrkSide,TA,113000
5,1092,1092,1092,1957,1957,1,299,1,6,TA,1,14850,NAmes,TA,141000
4,1336,637,897,1920,1950,1,570,1,7,TA,0,11040,IDOTRR,TA,108000
7,1446,729,729,1996,1997,2,406,2,6,TA,1,21872,Gilbert,TA,175000
7,1557,1374,1557,2003,2004,2,420,2,7,Gd,1,3196,Blmngtn,Gd,234000
5,1392,1392,1392,1957,1996,2,528,1,5,TA,1,11341,Sawyer,TA,121500
5,1389,1389,1389,1974,1975,2,418,1,6,TA,1,10010,Mitchel,TA,170000
5,996,996,996,1940,1969,0,0,1,6,TA,1,13907,Edwards,TA,108000
6,1674,1163,1163,1918,1950,2,396,2,8,TA,1,21780,Edwards,TA,185000
7,2295,1095,1166,1992,2000,2,590,2,9,Gd,1,13346,NoRidge,Gd,268000
6,1647,806,841,1915,1950,1,216,1,6,Fa,0,6858,SWISU,TA,128000
9,2504,1122,1134,2005,2007,3,656,2,11,Ex,1,11198,StoneBr,Gd,325000
8,2132,1496,1496,1983,2009,2,612,1,5,Gd,1,12327,SawyerW,Gd,316600
5,943,943,943,1979,1979,2,600,1,4,TA,2,7032,NAmes,TA,135960
6,864,864,864,1959,1959,1,288,1,4,Gd,0,7332,NAmes,TA,120000
7,1692,846,846,2009,2009,2,650,2,6,Gd,0,13159,Timber,TA,224500
7,1430,384,774,2000,2000,2,400,2,8,TA,1,9967,Gilbert,TA,170000
5,1109,372,576,1971,2005,1,288,1,5,TA,0,10500,NAmes,TA,139000
5,1216,832,832,1947,1950,1,336,1,6,TA,0,8480,NAmes,TA,118500
7,1477,861,877,1928,1950,1,216,2,6,TA,1,6292,SWISU,TA,145000
5,1320,1164,1320,1966,1966,2,564,1,6,TA,2,11777,Sawyer,TA,164500
7,1392,689,703,2007,2007,2,540,2,5,Gd,0,3604,Somerst,Gd,146000
5,1795,1050,1050,1954,1954,1,352,2,7,TA,0,12150,OldTown,TA,131500
6,1429,1144,1429,1960,1987,2,572,1,7,Gd,2,14585,NAmes,TA,181900
8,2042,2042,2042,2008,2009,3,1390,2,8,Ex,1,12704,NridgHt,Ex,253293
6,816,816,816,1990,1990,0,0,1,5,TA,0,11841,Edwards,TA,118500
10,2775,1237,1521,1893,2000,2,880,3,9,Gd,1,13500,OldTown,Ex,325000
4,1573,884,989,1935,1995,1,240,1,6,Gd,0,6120,BrkSide,TA,133000
8,2028,1868,2028,2005,2006,3,880,2,7,Gd,2,11443,Timber,Gd,369900
6,838,816,838,1918,2000,1,275,1,5,Fa,0,10267,BrkSide,TA,130000
5,860,840,860,1982,1982,2,528,1,4,TA,0,8740,Sawyer,TA,137000
5,1473,1437,1473,1968,2003,1,452,1,5,Ex,2,25095,ClearCr,TA,143000
5,935,742,779,1930,1960,1,308,1,4,TA,0,9100,BrkSide,TA,79500
7,1582,770,770,2004,2004,2,520,2,6,Gd,0,8320,CollgCr,Gd,185900
10,2296,1722,1728,2008,2008,3,842,2,10,Ex,1,13478,NridgHt,Ex,451950
5,816,816,816,1982,2003,2,816,1,4,TA,0,6600,Mitchel,TA,138000
6,848,848,848,2003,2003,2,420,1,4,Gd,0,4435,CollgCr,Gd,140000
5,924,924,924,1975,1975,1,280,1,5,TA,0,7990,CollgCr,TA,110000
8,1826,1814,1826,2005,2006,3,758,2,7,Gd,1,11302,StoneBr,Gd,319000
6,1368,684,684,1910,1993,1,216,1,7,TA,0,3600,OldTown,TA,114504
7,1402,1258,1402,2006,2007,3,648,0,7,Gd,1,3922,Blmngtn,Gd,194201
5,1647,1430,1647,1977,1977,2,621,2,7,Gd,1,12984,Crawfor,TA,217500
6,1556,716,716,1980,1980,2,452,2,6,TA,1,1950,Blueste,TA,151000
8,1904,1058,1058,2005,2005,2,736,2,8,Ex,1,10927,NridgHt,Gd,275000
8,1915,908,927,1992,1992,2,506,2,8,Gd,1,10041,SawyerW,Gd,220000
7,1200,600,600,2004,2005,2,480,2,4,Gd,0,3182,Somerst,Gd,151000
7,1494,1494,1494,2002,2002,2,530,2,6,Gd,1,12803,CollgCr,Gd,221000
8,3194,965,1940,1934,1998,2,380,2,10,TA,2,12168,Crawfor,TA,359100
9,2153,1440,1476,2000,2000,3,736,2,8,Ex,2,11050,CollgCr,Gd,313000
6,1032,1032,1032,1978,1978,2,564,2,6,TA,1,10395,NWAmes,TA,148000
8,1872,1299,1299,2001,2001,2,531,2,7,Ex,1,11885,CollgCr,Gd,261500
5,1120,1120,1120,2007,2007,0,0,1,6,TA,0,8402,Mitchel,TA,147000
4,630,630,630,1972,1972,0,0,1,3,TA,0,1491,MeadowV,TA,75500
6,1054,936,1054,1963,1963,2,480,1,6,Gd,0,8800,NAmes,TA,137500
6,1509,783,807,2002,2003,2,393,2,7,Gd,1,7861,Gilbert,Gd,183200
6,832,832,832,1954,1954,2,528,1,4,Gd,0,7227,NAmes,TA,105500
9,1828,1822,1828,2007,2007,3,774,2,9,Gd,1,11694,NridgHt,Ex,314813
8,2262,1482,1482,2003,2003,3,749,2,10,Gd,2,12244,Timber,Gd,305000
3,864,864,864,1914,1950,0,0,1,5,TA,0,8248,Edwards,TA,67000
6,2614,1522,1548,1974,1997,2,624,2,9,TA,1,10800,NWAmes,TA,240000
6,1512,756,756,2000,2000,2,440,2,4,Gd,1,2117,Somerst,Gd,168500
6,1116,1116,1116,1962,1962,2,440,1,5,TA,0,10000,NAmes,TA,160000
6,1520,1156,1520,1955,1972,1,364,1,7,TA,2,9600,NAmes,TA,153000
5,2080,1040,1040,1969,1969,2,504,1,9,Fa,2,11606,NAmes,TA,135000
6,1350,1248,1350,1964,1964,2,520,1,6,TA,0,9020,NAmes,TA,168500
5,1750,636,1089,1880,1991,1,240,1,8,Ex,0,9000,OldTown,TA,124000
8,1554,1554,1554,2006,2006,2,627,2,6,Gd,1,4590,NridgHt,Gd,209500
7,1411,1386,1411,1977,1977,2,544,2,6,TA,1,11900,NWAmes,TA,82500
5,1056,1056,1056,1954,2005,1,260,1,6,TA,0,9250,NAmes,TA,139400
6,1056,1056,1056,1980,1980,2,576,0,4,TA,0,6979,OldTown,TA,144000
6,3395,1440,1440,1914,1995,0,0,2,14,Fa,0,10896,SWISU,Fa,200000
2,800,264,800,1936,1950,0,0,1,4,Fa,1,6120,BrkSide,Fa,60000
5,1387,811,811,1954,1954,1,256,2,7,Gd,0,6000,OldTown,TA,93000
8,1567,1520,1567,2006,2006,3,648,2,7,Ex,1,3982,Blmngtn,Gd,264561
7,1929,1057,1057,2001,2001,2,650,2,7,Gd,1,7050,Somerst,Gd,226000
8,2704,1952,2000,1972,1995,2,538,2,9,Ex,3,13860,NAmes,Gd,345000
5,1620,780,780,1969,1969,2,462,2,7,TA,0,10793,NWAmes,TA,152000
9,1766,1766,1766,2009,2009,3,478,2,7,Ex,1,9187,Somerst,Ex,370878
6,981,981,981,1971,1971,2,576,1,5,TA,0,10530,NAmes,TA,143250
5,1048,0,1048,1950,1950,2,420,1,7,TA,0,7200,NAmes,TA,98300
6,1094,1094,1094,1953,1953,2,495,1,5,TA,2,10452,Edwards,TA,155000
6,1839,756,1051,1966,1966,2,442,1,7,TA,1,7700,NAmes,TA,155000
4,630,630,630,1970,1970,0,0,1,3,TA,0,1936,MeadowV,TA,84500
7,1665,813,822,2007,2007,2,562,2,7,Gd,0,8125,Somerst,Gd,205950
4,1510,755,755,1940,1950,1,296,1,7,TA,1,9084,Edwards,TA,108000
7,1716,880,909,1996,1996,2,512,2,7,Gd,1,8750,CollgCr,Gd,191000
6,1469,756,756,1906,1995,1,216,1,7,TA,0,10320,IDOTRR,TA,135000
8,2113,2109,2113,1995,1995,3,839,2,7,Gd,1,10437,NoRidge,Gd,350000
6,1092,525,525,1971,1971,1,264,1,6,TA,0,1680,BrDale,TA,88000
5,1053,1053,1053,1959,2006,1,312,1,5,Gd,0,10007,NAmes,Gd,145500
7,1502,776,851,1931,2000,1,270,1,6,TA,1,7200,Crawfor,TA,149000
6,1458,912,912,1948,1950,1,330,1,6,TA,1,17503,NAmes,TA,97500
5,1486,1486,1486,1964,1999,2,480,1,7,TA,0,9937,Edwards,TA,167000
7,1935,793,1142,1976,1976,2,550,2,7,TA,1,12384,NWAmes,TA,197900
6,1392,1392,1392,1968,1968,2,576,1,5,TA,2,13560,NAmes,TA,110000
4,1181,1138,1181,1972,1972,2,588,2,6,TA,0,10012,Edwards,TA,137500
8,2097,2077,2097,2005,2006,3,1134,1,8,Ex,1,20896,Somerst,Gd,423000
6,2380,1021,1465,1965,1979,2,596,2,7,TA,1,18450,NAmes,TA,129000
6,1679,1408,1679,1994,1998,2,575,2,7,Gd,1,8125,SawyerW,TA,193500
5,1437,1188,1437,1956,1987,2,576,1,6,TA,1,14175,Sawyer,TA,168000
4,1180,700,1180,1922,1950,1,252,1,5,Fa,1,11600,Crawfor,TA,137500
6,1476,738,738,2005,2005,2,540,2,7,Gd,0,8633,CollgCr,Gd,173500
6,1369,672,697,1925,1950,1,300,2,6,TA,0,6629,Edwards,TA,103600
6,1208,1208,1208,1977,1977,2,546,1,6,TA,1,11250,Veenker,Gd,165000
6,1839,1477,1839,1957,2004,2,416,2,7,Gd,2,14442,Crawfor,TA,257500
6,1136,1136,1136,1965,1965,1,384,1,5,TA,1,9200,NAmes,TA,140000
4,1774,1095,1095,1900,1950,3,779,2,8,TA,0,9600,OldTown,TA,87000
5,792,768,792,1924,2006,1,240,1,5,Gd,0,9022,OldTown,Gd,109500
8,2046,2046,2046,2008,2008,3,834,2,7,Gd,1,11844,StoneBr,Gd,372500
5,988,988,988,1961,1961,2,572,1,5,TA,0,9945,Sawyer,TA,128500
5,1520,793,848,1932,2000,1,281,1,6,TA,0,4500,SWISU,TA,159434
9,1668,1626,1668,2002,2002,3,702,2,7,Gd,1,11248,CollgCr,Gd,285000
8,1419,1419,1419,2007,2007,2,567,2,7,Gd,1,8089,StoneBr,Gd,392000
6,1362,1362,1362,2005,2006,2,460,2,6,Gd,1,7577,NridgHt,Gd,194700
10,4316,2444,2444,1994,1995,3,832,3,10,Ex,2,21535,NoRidge,Ex,755000
7,2519,1210,1238,1989,1990,2,628,2,9,Gd,2,26178,Timber,Gd,335000
5,1073,1073,1073,1921,1968,1,326,1,4,TA,0,5400,OldTown,TA,108480
6,1137,1112,1137,1987,1987,2,551,2,5,Gd,1,13811,Timber,TA,176000
5,616,616,616,1921,1950,1,205,1,4,TA,0,6000,BrkSide,TA,89000
5,1148,980,1148,1952,1952,1,308,1,6,TA,0,6420,Edwards,TA,123500
5,894,894,894,1965,2009,1,336,1,5,TA,1,8450,Sawyer,TA,138500
7,1391,1391,1391,2004,2004,2,530,2,5,Gd,0,4282,Somerst,Gd,196000
8,1800,1800,1800,2002,2002,3,765,2,7,Gd,1,14331,Timber,Gd,312500
7,1164,1164,1164,1969,1969,2,528,1,6,TA,0,9600,NWAmes,TA,140000
5,1812,360,1032,1900,1996,2,672,2,8,Gd,1,7630,OldTown,TA,140000
7,1484,1473,1484,2004,2005,2,606,2,7,Gd,0,8400,CollgCr,Gd,213000
8,1324,1324,1324,2006,2006,2,550,2,6,Gd,1,6240,NridgHt,Gd,254000
7,1456,728,728,2007,2007,2,400,2,8,Gd,1,9018,Gilbert,Gd,179540
5,904,876,904,1966,1966,1,408,1,6,TA,0,7162,Sawyer,TA,109900
4,1178,859,859,1900,1950,1,384,1,7,TA,0,8712,IDOTRR,TA,102776
4,960,960,960,1970,1970,2,576,1,6,TA,0,9873,BrkSide,TA,129000
6,1479,725,725,1976,2005,2,475,2,6,Gd,0,13517,Sawyer,Gd,130500
7,2554,718,1576,1890,1998,2,704,1,8,TA,0,10800,OldTown,TA,159500
5,1178,1176,1178,1973,2000,2,439,1,5,Gd,1,10000,NWAmes,TA,157000
7,2418,1311,1325,1993,1994,3,983,2,9,Gd,1,10542,NoRidge,Gd,341000
5,971,971,971,1969,1969,1,300,1,5,TA,1,9920,CollgCr,TA,128500
8,1742,1742,1742,1985,1985,2,564,2,5,Gd,1,6563,StoneBr,Gd,275000
4,864,864,864,1970,1970,2,463,1,5,TA,0,8120,NAmes,TA,124500
4,864,864,864,1970,1970,2,660,1,5,Gd,0,6960,NAmes,TA,120500
6,1680,880,1680,1988,2007,2,540,2,5,Gd,1,21695,Crawfor,Gd,222000
